,"enclosedRule","add","apply","rulesStartingWithInnerMost","ArrayList","description","rules","around","each","emptyRuleChain","rulesOfNewChain","RuleChain","addAll","EMPTY_CHAIN","arg0","outerRule","base"
"enclosedRule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"add",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"apply",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"rulesStartingWithInnerMost",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"description",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"rules",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"around",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"each",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"emptyRuleChain",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"rulesOfNewChain",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"RuleChain",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"addAll",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"EMPTY_CHAIN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"outerRule",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"base",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
