,"app","setName","args","SVGApplicationModel","newValue","setCopyright","setVersion","setModel","DefaultOSXApplication","model","launch","setProjectClassName"
"app",0,0,0,0,0,0,0,1,0,0,1,0
"setName",0,0,0,0,0,0,0,0,0,1,0,0
"args",0,0,1,0,0,0,0,0,0,0,0,0
"SVGApplicationModel",0,0,0,0,0,0,0,0,0,1,0,0
"newValue",0,0,0,0,0,0,0,0,0,0,0,0
"setCopyright",0,0,0,0,0,0,0,0,0,1,0,0
"setVersion",0,0,0,0,0,0,0,0,0,1,0,0
"setModel",1,0,0,0,0,0,0,0,0,0,0,0
"DefaultOSXApplication",1,0,0,0,0,0,0,0,0,0,0,0
"model",0,1,0,0,1,1,1,0,0,0,0,1
"launch",1,0,0,0,0,0,0,0,0,0,0,0
"setProjectClassName",0,0,0,0,0,0,0,0,0,1,0,0
