,"stringWriter","item","printStackTrace","readStacktrace","throwableMatcher","StacktracePrintingMatcher","throwable","isException","description","describeMismatch","matches","isThrowable","StringWriter","arg1","arg0","matchesSafely","describeTo","exceptionMatcher","toString","appendText","PrintWriter"
"stringWriter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"item",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"printStackTrace",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"readStacktrace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"throwableMatcher",0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"StacktracePrintingMatcher",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"throwable",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"description",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
"describeMismatch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"matches",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"isThrowable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StringWriter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"matchesSafely",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"describeTo",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exceptionMatcher",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"appendText",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"PrintWriter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
