,"SimplePropertyDescriptor","nodeClass","valueType","arg0","ASTNode","getValueType","propertyId","class","isAssignableFrom","mandatory","isMandatory","StructuralPropertyDescriptor"
"SimplePropertyDescriptor",0,0,2,0,0,0,0,0,0,2,0,0
"nodeClass",0,0,0,0,0,0,0,0,0,0,0,1
"valueType",2,0,1,1,0,1,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0
"ASTNode",0,0,0,0,0,0,0,1,0,0,0,0
"getValueType",0,0,0,0,0,0,0,0,0,0,0,0
"propertyId",0,0,0,0,0,0,0,0,0,0,0,1
"class",0,0,0,0,1,0,0,0,1,0,0,0
"isAssignableFrom",0,0,0,0,0,0,0,1,0,0,0,0
"mandatory",2,0,0,0,0,0,0,0,0,1,1,0
"isMandatory",0,0,0,0,0,0,0,0,0,0,0,0
"StructuralPropertyDescriptor",0,0,0,0,0,0,0,0,0,0,0,0
