,"extension","getName","toLowerCase","description","String","dir","getDescription","getExtensions","accept","extensions","file","arg0","clone","name","endsWith","m_Extension","File","isDirectory","m_Description","element"
"extension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getName",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"toLowerCase",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"description",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getDescription",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getExtensions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"accept",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"extensions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"file",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clone",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"endsWith",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"m_Extension",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"File",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"isDirectory",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"m_Description",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"element",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
