,"m_jRbBottomup","org.emftext.language.java.types.impl.IntImpl@708b5d51","upper","ArrayList","org.emftext.language.java.types.impl.FloatImpl@b114b85","leftNodes","String","org.emftext.language.java.types.impl.IntImpl@52364226","org.emftext.language.java.types.impl.IntImpl@547fbb92","prej","len","SINGULAR_DUMMY","tempCnt","s1","uidx","element","s2","getNodes","printStackTrace","org.emftext.language.java.types.impl.IntImpl@7c8e0eca","node1","setString","PLURAL_DUMMY","node2","size","getProgressBar","m_nodes","descOrder","org.emftext.language.java.types.impl.IntImpl@560b4d33","BC","crossings","bg","getControlPanel","rightNode","org.emftext.language.java.types.impl.IntImpl@3b91cecf","sum","org.emftext.language.java.types.impl.FloatImpl@4ed871b7","temp2","temp3","tempLevel","org.emftext.language.java.types.impl.IntImpl@5465fe3e","org.emftext.language.java.types.impl.IntImpl@1087262d","min","arraycopy","weightx","isSelected","org.emftext.language.java.types.impl.IntImpl@2a2439b8","a","e","tempMatrix","colBC","i","j","k","l","HierarchicalBCEngine","m","n","org.emftext.language.java.types.impl.IntImpl@31e93d5b","r","lastOcrnce","abs","th","org.emftext.language.java.types.impl.IntImpl@3d237f89","x","org.emftext.language.java.types.impl.IntImpl@6d9b0560","y","to","m_nodeWidth","org.emftext.language.java.types.impl.IntImpl@13c11cf7","uBCenter","setSelected","dest","createTitledBorder","nindex","origNodesSize","uConnectivity","NORTHWEST","add","BorderFactory","last","addActionListener","count","nodeType","org.emftext.language.java.types.impl.IntImpl@1136ff3e","arg2","arg4","ex","ActionListener","arg1","arg0","MyList","next","org.emftext.language.java.types.impl.IntImpl@7aee2860","maxCount","remove","System","minPosition","calcColBC","LayoutCompleteEvent","crossbefore","lidx","previous","start","length","gbc","tempnode","bCenters","org.emftext.language.java.types.impl.IntImpl@33c4c330","org.emftext.language.java.types.impl.IntImpl@339177c4","print","nodes","setBorder","visited","m_nodeHeight","m_jCbEdgeConcentration","JPanel","layoutCompleteListeners","graphMatrix","type","Math","leftCount","priorities","org.emftext.language.java.types.impl.IntImpl@4ff25123","org.emftext.language.java.types.impl.IntImpl@7071c694","edgeOcrnce","setStringPainted","ID","org.emftext.language.java.types.impl.IntImpl@6d88b445","org.emftext.language.java.types.impl.IntImpl@6e89ea65","REVERSED","org.emftext.language.java.types.impl.IntImpl@8ecade4","k1","lower","k2","k3","GraphNode","crossafter","JCheckBox","exit","org.emftext.language.java.types.impl.IntImpl@3db24354","horPosition","tempLevels","lBCenter","m_jRbPriorityLayout","repaint","org.emftext.language.java.types.impl.IntImpl@166faaf7","m_progress","GridBagLayout","edgeConc","out","org.emftext.language.java.types.impl.IntImpl@1595db38","org.emftext.language.java.types.impl.IntImpl@413f1bd1","get","DOUBLE","edgeConcentration","org.emftext.language.java.types.impl.IntImpl@7c171540","err","horPositions","org.emftext.language.java.types.impl.IntImpl@49ee4f1c","nodeHeight","org.emftext.language.java.types.impl.IntImpl@5a5a5462","nodeLevels","layoutCompleted","Thread","depth","ButtonGroup","anchor","levelCounts","indexOfElementInLevel","le","org.emftext.language.java.types.impl.IntImpl@354e4158","curSize","levels","first","GridBagConstraints","org.emftext.language.java.types.impl.IntImpl@698fffd","m_jRbNaiveLayout","org.emftext.language.java.types.impl.IntImpl@4e6fb21b","edge","from","m_controlsPanel","levelsCounter","lindex","org.emftext.language.java.types.impl.IntImpl@531f4f50","org.emftext.language.java.types.impl.IntImpl@26ad87c7","level","nodeWidth","jp1","fill","jp2","org.emftext.language.java.types.impl.IntImpl@4c76ef","rightNodes","org.emftext.language.java.types.impl.IntImpl@1409b87f","m_jRbTopdown","ne","HORIZONTAL","maxLevel","JRadioButton","org.emftext.language.java.types.impl.IntImpl@ca05a35","org.emftext.language.java.types.impl.IntImpl@5595903e","JProgressBar","setBorderPainted","MyListNode","println","calcRowBC","minimizeCrossings","eindex","gridwidth","rowBC","temp","m_edges","src","edges","Exception","rightCount","nodesLevel","REMAINDER","lConnectivity","setValue","startsWith"
"m_jRbBottomup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@708b5d51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.FloatImpl@b114b85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leftNodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@52364226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@547fbb92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prej",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
