,"fromValue","prime","T_JavaLangString","getClass","other","result","stringValue","hashCode","obj","equals","arg0","toString","typeID","StringConstant","value"
"fromValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prime",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"T_JavaLangString",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getClass",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"result",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"stringValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"obj",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StringConstant",1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"value",0,0,0,0,2,1,1,1,0,2,1,1,0,8,1
