,"ALL","ComparingIdentical","NullAnnotationInferenceConflict","NullReference","ExplicitlyClosedAutoCloseable","NoEffectAssignment","EnumUsedAsAnIdentifier","UnusedWarningToken","VarargsArgumentNeedCast","NoImplicitStringConversion","PotentiallyUnclosedCloseable","clearAll","wasNoOp","FieldHiding","UNCHECKED","GROUP_SHIFT","COMPILER_DEFAULT_ERRORS","RedundantNullCheck","PotentialNullReference","group","UnusedImport","Tasks","NullUncheckedConversion","NULL","GROUP_MAX","NullSpecViolation","AnnotationSuperInterface","isSet","singleGroupIrritants","RedundantSuperinterface","UNUSED","bits","UnusedObjectAllocation","IncompatibleNonInheritedInterfaceMethod","otherIrritant","FinalParameterBound","arg4","INCOMPLETE_SWITCH","RawTypeReference","arg0","CompilerOptions","MissingEnumConstantCase","MissingJavadocComments","irritantSet","OverriddenPackageDefaultMethod","UnusedLocalVariable","other","MethodWithConstructorName","MaskedCatchBlock","org.emftext.language.java.types.impl.IntImpl@3b95d140","RedundantNullAnnotation","MissingJavadocTags","UnhandledWarningToken","System","UnclosedCloseable","NonStaticAccessToStatic","MissingDefaultCase","DiscouragedReference","GROUP_MASK","arraycopy","STATIC_ACCESS","UnusedLabel","UnusedTypeArguments","DeadCode","setAll","LocalVariableHiding","UsingDeprecatedAPI","UnusedDeclaredThrownException","RESOURCE","UnusedPrivateMember","set","getProperty","JAVADOC","COMPILER_DEFAULT_WARNINGS","TypeHiding","clear","i","RESTRICTION","MethodCanBePotentiallyStatic","ForbiddenReference","AssertUsedAsAnIdentifier","IrritantSet","suppressRawWhenUnchecked","RedundantSpecificationOfTypeArguments","STATIC_METHOD","UncheckedTypeOperation","HIDING","FinallyBlockNotCompleting","MissingSerialVersion","UnusedArgument"
"ALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ComparingIdentical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NullAnnotationInferenceConflict",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NullReference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ExplicitlyClosedAutoCloseable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NoEffectAssignment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EnumUsedAsAnIdentifier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UnusedWarningToken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VarargsArgumentNeedCast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NoImplicitStringConversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
