,"fromValue","getClass","T_boolean","valueOf","TRUE","String","stringValue","hashCode","obj","arg0","BooleanConstant","FALSE","booleanValue","toString","typeID","value"
"fromValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getClass",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"T_boolean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"valueOf",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"TRUE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"String",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"stringValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BooleanConstant",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5
"FALSE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"booleanValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",1,0,0,0,0,0,0,1,0,1,5,0,1,1,0,1
