,"add","exception","ignored","ignoredCount","listeners","test","listener","cause","TestResult","testAssumptionFailure","skippedCount","removeListener","testIgnored","remove","skipped","size","TestIgnored","arg0","addListener"
"add",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"exception",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ignored",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ignoredCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"listeners",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"test",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"listener",0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0
"cause",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TestResult",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"testAssumptionFailure",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"skippedCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"removeListener",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"testIgnored",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"remove",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"skipped",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"size",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"TestIgnored",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addListener",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
