,"hasMoreTokens","Character","oneMore","pathSeparatorChar","length","dosStyleFilesystem","isLetter","tokenizer","token","path","lookahead","StringTokenizer","trim","pathSeparator","nextToken","arg0","equals","File","charAt","startsWith"
"hasMoreTokens",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Character",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"oneMore",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"pathSeparatorChar",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"length",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"dosStyleFilesystem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isLetter",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tokenizer",3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"token",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4
"path",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"lookahead",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"StringTokenizer",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"trim",0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0
"pathSeparator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
"nextToken",0,0,0,0,0,0,0,5,1,0,2,0,5,0,0,0,2,0,0,2
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"File",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"charAt",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"startsWith",0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
