,"createXMLReader","getDriverClassName","XMLReaderSAX2Factory","SAX_FEATURE_NAMESPACE_PREFIXES","e","reader","saxdriver","className","JDOMException","isValidating","setFeature","arg1","arg0","SAX_FEATURE_VALIDATION","SAX_FEATURE_NAMESPACES","XMLReaderFactory","validate"
"createXMLReader",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
"getDriverClassName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XMLReaderSAX2Factory",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SAX_FEATURE_NAMESPACE_PREFIXES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"e",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"reader",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"saxdriver",0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"className",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JDOMException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isValidating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setFeature",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAX_FEATURE_VALIDATION",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SAX_FEATURE_NAMESPACES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"XMLReaderFactory",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"validate",0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1
