,"buildReader","AbstractStAXStreamReader","format","doc","DefaultXMLStreamReader"
"buildReader",0,0,0,0,0
"AbstractStAXStreamReader",0,0,0,0,0
"format",0,1,0,0,1
"doc",0,1,0,0,1
"DefaultXMLStreamReader",1,0,0,0,0
