,"getProperty","RevisionUtils","Properties","propName","put","props","extract","propertyNames","hasMoreElements","arg1","arg0","setProperty","propEnum","propValue","value","key","nextElement","getRevision"
"getProperty",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"RevisionUtils",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Properties",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"propName",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"put",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"props",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"extract",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"propertyNames",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"hasMoreElements",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setProperty",0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"propEnum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"propValue",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"key",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"nextElement",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
