,"getProbabilities","pc","getPercentCompleted","rowLength","m_percentCompleted","m_probabilities","index","org.emftext.language.java.types.impl.DoubleImpl@5f122363","distribution"
"getProbabilities",0,0,0,0,0,0,0,0,0
"pc",0,0,0,0,1,0,0,0,0
"getPercentCompleted",0,0,0,0,0,0,0,0,0
"rowLength",0,0,0,0,0,0,0,1,0
"m_percentCompleted",0,0,1,0,0,0,0,0,0
"m_probabilities",1,0,0,0,0,0,0,0,0
"index",0,0,0,0,0,1,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@5f122363",0,0,0,0,0,1,0,0,0
"distribution",0,0,0,0,0,1,0,0,0
