,"org.emftext.language.java.types.impl.CharImpl@34a20626","getChars","m_CurrentPos","length","RevisionUtils","String","beginpos","endpos","tokenizer","args","arg2","AlphabeticTokenizer","m_Str","s","extract","arg1","options","nextElement","getRevision"
"org.emftext.language.java.types.impl.CharImpl@34a20626",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getChars",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"m_CurrentPos",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"length",1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0
"RevisionUtils",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"beginpos",0,0,1,0,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0
"endpos",0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
"tokenizer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"args",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlphabeticTokenizer",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m_Str",0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"s",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"extract",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"options",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nextElement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
