,"offset","Character","match","length","count","i","j","textArray","c1","c2","array","arg0","toUpperCase","text"
"offset",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Character",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"match",0,0,0,1,0,0,0,0,0,1,0,0,0,0
"length",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"count",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"i",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"j",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"textArray",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"c1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"c2",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"array",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toUpperCase",0,2,0,0,0,0,0,0,1,1,0,0,0,0
"text",1,0,0,0,1,0,0,0,0,0,1,0,0,0
