,"lastToken","next","addToken","parent","firstToken","offset","getTokens","length","createToken","rules","Token","isBuiltIn","token","lineContext","DefaultTokenHandler","getParserRuleSet","context","getLineContext","id"
"lastToken",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"next",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addToken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"firstToken",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"offset",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"getTokens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"createToken",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rules",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
"Token",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"isBuiltIn",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"token",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lineContext",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"DefaultTokenHandler",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getParserRuleSet",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"context",0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
"getLineContext",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
