,"att","NominalItem","b","other","m_attribute","getValueIndex","isNominal","numValues","compareTo","valueIndex","getAttribute","isNumeric","hashCode","equals","name","m_frequency"
"att",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"NominalItem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_attribute",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"getValueIndex",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"isNominal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numValues",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"compareTo",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"valueIndex",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getAttribute",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"isNumeric",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"equals",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"m_frequency",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
