,"att","comp","m_attribute","b","other","f","getFrequency","numValues","compareTo","result","getAttribute","hashCode","arg0","equals","name","toString","m_frequency"
"att",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"comp",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"m_attribute",0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0
"b",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"getFrequency",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numValues",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"compareTo",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getAttribute",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"m_frequency",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
