,"Comparable","upperBound","accepts","bin","getItemCount","count","getUpperBound","isNaN","Double","overlapsWith","itemCount","that","includeUpperBound","obj","arg0","isSelected","clone","lowerBound","SimpleHistogramBin","includeLowerBound","getLowerBound","value","IllegalArgumentException","selected"
"Comparable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"upperBound",0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0
"accepts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin",0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0
"getItemCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"count",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getUpperBound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isNaN",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"overlapsWith",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"itemCount",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
"that",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
"includeUpperBound",0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,4,0,0,0,0,0
"obj",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isSelected",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clone",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lowerBound",0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,1,0,1,0
"SimpleHistogramBin",0,9,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,9,0,4,0,0,0,4
"includeLowerBound",0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,1,0,0,0,0
"getLowerBound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"IllegalArgumentException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"selected",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,1
