,"bin","count","getStartBoundary","endBoundary","b0","getEndBoundary","b1","b2","startBoundary","obj","equals","clone","HistogramBin","getBinWidth","Cloneable","getCount"
"bin",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"count",1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1
"getStartBoundary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"endBoundary",1,0,0,1,0,1,2,0,0,0,0,0,4,1,0,0
"b0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getEndBoundary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"b2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"startBoundary",1,0,1,0,2,0,0,0,1,0,0,0,4,1,0,0
"obj",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clone",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"HistogramBin",0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0
"getBinWidth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloneable",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
