,"getStandardDeviation","o1","o2","MeanAndStandardDeviation","getStandardDeviationValue","doubleValue","Double","ObjectUtilities","result","equal","that","getMeanValue","mean","obj","getMean","NaN","toString","standardDeviation"
"getStandardDeviation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MeanAndStandardDeviation",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
"getStandardDeviationValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doubleValue",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
"Double",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ObjectUtilities",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"result",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"equal",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"that",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"getMeanValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",0,1,1,6,0,1,1,0,0,0,1,0,1,0,1,0,1,0
"obj",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getMean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NaN",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"standardDeviation",1,1,1,6,0,1,1,0,0,0,1,0,0,0,0,0,1,1
