,"f","g","draw","fill","setDefaults","SVGImage","getBounds","SVGUtil","p","that","contains","arg0","AttributedFigure","bounds","clone","getRestoreData","restoreData"
"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"draw",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fill",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setDefaults",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SVGImage",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getBounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SVGUtil",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"that",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"contains",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AttributedFigure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"bounds",0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0
"clone",0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0
"getRestoreData",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"restoreData",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
