,"getPoint","tx","in","f","SVGLine","setDefaults","Double","writeAttributes","lead","out","SVGUtil","addAttribute","anchor","readAttributes","x","getDimension","y","value","getTransform"
"getPoint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"tx",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"in",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVGLine",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setDefaults",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"writeAttributes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"lead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"out",0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0
"SVGUtil",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,1
"addAttribute",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"anchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"readAttributes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"x",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"getDimension",0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0
"y",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTransform",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
