,"next","add","image","BufferedImageRenderingSource","hasNext","getDataset","iterator","getSelection","selectionStates","createGraphics2D","das","getSelectionState","arg0","createGraphics","state","DatasetAndSelection","dataset"
"next",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"add",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"image",0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"BufferedImageRenderingSource",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getDataset",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"iterator",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"getSelection",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"selectionStates",0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"createGraphics2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"das",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"getSelectionState",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"createGraphics",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"state",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DatasetAndSelection",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dataset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
