,"add","item","LegendItemCollection","getItemCount","ArrayList","index","collection","ObjectUtilities","that","iterator","size","addAll","obj","arg0","get","equals","clone","deepClone","Cloneable","items"
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"item",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LegendItemCollection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"getItemCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"index",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"collection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ObjectUtilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"that",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"iterator",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"size",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"addAll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"obj",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"clone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
"deepClone",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Cloneable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"items",1,0,8,0,0,0,2,0,1,1,1,1,0,2,1,1,1,0,0,0
