,"ret","jjtGetNumChildren","jjtGetChild","callstack","interpreter","body","numChild","SimpleNode","isDoStatement","Primitive","eval","condExp","BSHIfStatement","id","VOID","evaluateCondition","doOnceFlag"
"ret",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"jjtGetNumChildren",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"jjtGetChild",0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"callstack",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"interpreter",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"body",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"numChild",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SimpleNode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isDoStatement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Primitive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"eval",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"condExp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BSHIfStatement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"id",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"VOID",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"evaluateCondition",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"doOnceFlag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
