,"offset","ch","org.emftext.language.java.types.impl.CharImpl@4c7519a5","count","length","off","System","capacity","arg3","arg2","org.emftext.language.java.types.impl.CharImpl@16625bc1","arg4","len","arrayN","array","arg1","arraycopy","arg0","text"
"offset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@4c7519a5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"count",0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"off",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"capacity",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@16625bc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"arg4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"len",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"arrayN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"array",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arraycopy",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"text",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
