,"offset","count","length","start","index","subSequence","String","off","SegmentCharSequence","seg","len","array","end","toString","charAt"
"offset",0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
"count",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"length",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"start",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"index",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"subSequence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"off",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SegmentCharSequence",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"seg",2,1,0,0,0,0,0,0,3,1,0,2,0,0,0
"len",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"array",0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
"end",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"charAt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
