,"initialSize","num","length","index","getArray","org.emftext.language.java.types.impl.IntImpl@2655054b","System","IntegerArray","arg2","getSize","arg4","len","arrayN","array","arraycopy","arg0","get","org.emftext.language.java.types.impl.IntImpl@780bed4"
"initialSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"num",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"index",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getArray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@2655054b",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IntegerArray",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"len",0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0
"arrayN",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"array",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"arraycopy",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@780bed4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
