,"extension","getExtension","parentLevelField","ChildParent","ArrayList","getParentField","getParentLevelField","parentField","getTableLocator","isRecursive","tableLocator","getChildField","value","getIsRecursive","childField","inlineTable","getInlineTable"
"extension",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parentLevelField",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"ChildParent",1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getParentField",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getParentLevelField",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parentField",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"getTableLocator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isRecursive",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"tableLocator",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"getChildField",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0
"getIsRecursive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"childField",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"inlineTable",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"getInlineTable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
