,"extension","TextDocument","getExtension","getName","ArrayList","length","getId","getFile","file","name","getLength","id","value"
"extension",0,1,1,0,0,0,0,0,0,0,0,0,0
"TextDocument",1,0,0,0,0,1,0,0,1,1,0,1,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0
"getName",0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,1,0,0,0,0,0,0,0,0,1,0,0
"getId",0,0,0,0,0,0,0,0,0,0,0,0,0
"getFile",0,0,0,0,0,0,0,0,0,0,0,0,0
"file",0,1,0,0,0,0,0,1,0,0,0,0,0
"name",0,1,0,1,0,0,0,0,0,0,0,0,0
"getLength",0,0,0,0,0,0,0,0,0,0,0,0,0
"id",0,1,0,0,0,0,1,0,0,0,0,0,0
"value",0,0,0,0,0,1,0,0,1,1,0,1,0
