,"getBooleanOperator","extension","getExtension","field","array","ArrayList","getField","getArray","booleanOperator","value","SimpleSetPredicate"
"getBooleanOperator",0,0,0,0,0,0,0,0,0,0,0
"extension",0,0,1,0,0,0,0,0,0,0,1
"getExtension",0,0,0,0,0,0,0,0,0,0,0
"field",0,0,0,0,0,0,1,0,0,0,1
"array",0,0,0,0,0,0,0,1,0,0,1
"ArrayList",0,1,0,0,0,0,0,0,0,0,0
"getField",0,0,0,0,0,0,0,0,0,0,0
"getArray",0,0,0,0,0,0,0,0,0,0,0
"booleanOperator",1,0,0,0,0,0,0,0,0,0,1
"value",0,0,0,1,1,0,0,0,1,0,0
"SimpleSetPredicate",0,1,0,1,1,0,0,0,1,0,0
