,"getDefineFunction","add","extension","defineFunction","getExtension","getDerivedField","field","TransformationDictionary","arg0","ArrayList","derivedField"
"getDefineFunction",0,0,0,0,0,0,0,0,0,0,0
"add",0,0,0,0,0,0,0,0,0,0,1
"extension",0,0,0,0,1,0,0,1,0,0,0
"defineFunction",1,0,0,0,0,0,0,1,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0
"getDerivedField",0,0,0,0,0,0,0,0,0,0,0
"field",0,0,0,0,0,0,0,0,1,0,0
"TransformationDictionary",0,0,1,1,0,0,0,0,0,0,2
"arg0",0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,1,1,0,0,0,0,0,0,2
"derivedField",0,1,0,0,0,1,0,2,0,0,0
