,"getC00Parameter","d01Parameter","extension","getD01Parameter","BinarySimilarity","getExtension","d10Parameter","getD11Parameter","ArrayList","c10Parameter","c00Parameter","getD10Parameter","d11Parameter","getD00Parameter","c01Parameter","getC11Parameter","d00Parameter","getC10Parameter","value","getC01Parameter","c11Parameter"
"getC00Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d01Parameter",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extension",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getD01Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BinarySimilarity",0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d10Parameter",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getD11Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c10Parameter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"c00Parameter",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getD10Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d11Parameter",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getD00Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c01Parameter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getC11Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d00Parameter",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getC10Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
"getC01Parameter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c11Parameter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
