,"getNumberOfSupportVectors","extension","numberOfAttributes","getExtension","getSupportVector","SupportVectors","ArrayList","numberOfSupportVectors","supportVector","value","getNumberOfAttributes"
"getNumberOfSupportVectors",0,0,0,0,0,0,0,0,0,0,0
"extension",0,0,0,1,0,1,0,0,0,0,0
"numberOfAttributes",0,0,0,0,0,1,0,0,0,0,1
"getExtension",0,0,0,0,0,0,0,0,0,0,0
"getSupportVector",0,0,0,0,0,0,0,0,0,0,0
"SupportVectors",0,1,1,0,0,0,0,1,1,0,0
"ArrayList",0,1,0,0,0,0,0,0,1,0,0
"numberOfSupportVectors",1,0,0,0,0,1,0,0,0,0,0
"supportVector",0,0,0,0,1,1,0,0,0,0,0
"value",0,0,1,0,0,0,0,1,0,0,0
"getNumberOfAttributes",0,0,0,0,0,0,0,0,0,0,0
