,"NeuralOutputs","extension","neuralOutput","getExtension","getNeuralOutput","ArrayList","numberOfOutputs","getNumberOfOutputs","value"
"NeuralOutputs",0,1,1,0,0,0,1,0,0
"extension",1,0,0,1,0,0,0,0,0
"neuralOutput",1,0,0,0,1,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0
"getNeuralOutput",0,0,0,0,0,0,0,0,0
"ArrayList",0,1,1,0,0,0,0,0,0
"numberOfOutputs",1,0,0,0,0,0,0,1,0
"getNumberOfOutputs",0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,1,0,0
