,"altitude","extension","getExtension","con","getCon","getAltitude","ArrayList","getId","getWidth","getBias","Neuron","bias","width","id","value"
"altitude",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"extension",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"con",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"getCon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getAltitude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"getId",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getWidth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getBias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuron",1,1,0,1,0,0,0,0,0,0,0,1,1,1,0
"bias",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"width",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"id",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"value",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
