,"extension","getExtension","getTime","getSupport","ArrayList","getId","Sequence","getExtensionAndDelimiterAndTime","occurrence","getSetReference","extensionAndDelimiterAndTime","getNumberOfSets","numberOfSets","setReference","time","id","getOccurrence","value","support"
"extension",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSupport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getId",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence",1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1
"getExtensionAndDelimiterAndTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"occurrence",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"getSetReference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extensionAndDelimiterAndTime",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"getNumberOfSets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numberOfSets",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"setReference",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"time",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"id",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"getOccurrence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
"support",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
