,"extension","getExtension","pCol","getPRow","getPCol","getTCol","ArrayList","getTargetCategory","getValue","targetCategory","tRow","PCovCell","tCol","getTRow","value","pRow"
"extension",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pCol",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"getPRow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getPCol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTCol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTargetCategory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"targetCategory",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"tRow",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"PCovCell",1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
"tCol",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"getTRow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1
"pRow",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
