,"fieldCount","extension","getExtension","isTransformed","recordCount","ArrayList","instanceFields","getTableLocator","TrainingInstances","isIsTransformed","tableLocator","getRecordCount","value","getFieldCount","getInstanceFields","inlineTable","getInlineTable"
"fieldCount",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"extension",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isTransformed",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"recordCount",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ArrayList",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"instanceFields",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"getTableLocator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TrainingInstances",1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"isIsTransformed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tableLocator",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"getRecordCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"getFieldCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInstanceFields",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inlineTable",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"getInlineTable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
