,"altitude","extension","getExtension","getActivationFunction","getAltitude","ArrayList","neuron","activationFunction","threshold","NeuralLayer","getWidth","normalizationMethod","getNormalizationMethod","getNumberOfNeurons","width","numberOfNeurons","getThreshold","getNeuron","value"
"altitude",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"extension",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getActivationFunction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getAltitude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"neuron",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"activationFunction",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"threshold",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"NeuralLayer",1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0
"getWidth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"normalizationMethod",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"getNormalizationMethod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getNumberOfNeurons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"width",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"numberOfNeurons",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"getThreshold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getNeuron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
