,"add","getCategoricalPredictor","extension","predictorTerm","getExtension","ArrayList","getIntercept","RegressionTable","getTargetCategory","numericPredictor","targetCategory","categoricalPredictor","getNumericPredictors","intercept","arg0","predictor","getPredictorTerm","value"
"add",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getCategoricalPredictor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extension",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"predictorTerm",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"getIntercept",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RegressionTable",0,0,1,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0
"getTargetCategory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numericPredictor",1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"targetCategory",0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
"categoricalPredictor",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getNumericPredictors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"intercept",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"predictor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getPredictorTerm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
