,"fieldWeight","compareFunction","extension","getExtension","field","getFieldWeight","ArrayList","getField","getCompareFunction","value","KNNInput"
"fieldWeight",0,0,0,0,0,1,0,0,0,0,1
"compareFunction",0,0,0,0,0,0,0,0,1,0,1
"extension",0,0,0,1,0,0,0,0,0,0,1
"getExtension",0,0,0,0,0,0,0,0,0,0,0
"field",0,0,0,0,0,0,0,1,0,0,1
"getFieldWeight",0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,1,0,0,0,0,0,0,0,0
"getField",0,0,0,0,0,0,0,0,0,0,0
"getCompareFunction",0,0,0,0,0,0,0,0,0,0,0
"value",1,1,0,0,1,0,0,0,0,0,0
"KNNInput",1,1,1,0,1,0,0,0,0,0,0
