,"getStandardDeviation","extension","getExtension","ArrayList","getMaximum","getInterQuartileRange","median","interQuartileRange","getMedian","mean","quantile","getQuantile","getMinimum","NumericInfo","maximum","getMean","value","minimum","standardDeviation"
"getStandardDeviation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extension",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getMaximum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInterQuartileRange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"interQuartileRange",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"getMedian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"quantile",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"getQuantile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getMinimum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NumericInfo",0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1
"maximum",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getMean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
"minimum",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"standardDeviation",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
