,"getFunctionName","getNumberOfDocuments","functionName","TextModel","getContent","ArrayList","getModelName","algorithmName","numberOfTerms","content","isIsScorable","modelName","isScorable","getAlgorithmName","numberOfDocuments","getNumberOfTerms","value"
"getFunctionName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getNumberOfDocuments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"functionName",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TextModel",0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0
"getContent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getModelName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algorithmName",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"numberOfTerms",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"content",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"isIsScorable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"modelName",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"isScorable",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"getAlgorithmName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numberOfDocuments",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getNumberOfTerms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0
