,"getFunctionName","functionName","modelClass","getContent","ArrayList","getModelName","algorithmName","getNumberOfClusters","content","getModelClass","numberOfClusters","isIsScorable","modelName","isScorable","getAlgorithmName","value","ClusteringModel"
"getFunctionName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"functionName",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"modelClass",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"getContent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getModelName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algorithmName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"getNumberOfClusters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"content",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"getModelClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numberOfClusters",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"isIsScorable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"modelName",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"isScorable",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"getAlgorithmName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
"ClusteringModel",0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
