,"getTrue","extension","getExtension","simpleSetPredicate","_false","Attribute","getFalse","ArrayList","partialScore","getPartialScore","getReasonCode","getCompoundPredicate","getSimplePredicate","reasonCode","_true","simplePredicate","value","getSimpleSetPredicate","compoundPredicate"
"getTrue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extension",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"simpleSetPredicate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"_false",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Attribute",0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
"getFalse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"partialScore",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"getPartialScore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getReasonCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCompoundPredicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSimplePredicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"reasonCode",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"_true",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"simplePredicate",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"value",0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
"getSimpleSetPredicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compoundPredicate",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
