,"getINTEntries","indices","getIndices","INTSparseArray","defaultValue","ArrayList","getN","BigInteger","intEntries","value","n","getDefaultValue"
"getINTEntries",0,0,0,0,0,0,0,0,0,0,0,0
"indices",0,0,1,1,0,0,0,0,0,0,0,0
"getIndices",0,0,0,0,0,0,0,0,0,0,0,0
"INTSparseArray",0,1,0,0,1,0,0,0,1,0,1,0
"defaultValue",0,0,0,1,0,0,0,0,0,0,0,1
"ArrayList",0,1,0,0,0,0,0,0,1,0,0,0
"getN",0,0,0,0,0,0,0,0,0,0,0,0
"BigInteger",0,0,0,0,0,0,0,0,0,0,0,1
"intEntries",1,0,0,1,0,0,0,0,0,0,0,0
"value",0,0,0,0,1,0,0,0,0,0,1,0
"n",0,0,0,1,0,0,1,0,0,0,0,0
"getDefaultValue",0,0,0,0,0,0,0,0,0,0,0,0
