,"extension","getExtension","isCenterField","getFieldWeight","similarityScale","ArrayList","getField","getCompareFunction","ClusteringField","fieldWeight","compareFunction","getSimilarityScale","field","comparisons","getComparisons","value","getIsCenterField"
"extension",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isCenterField",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"getFieldWeight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"similarityScale",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getField",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCompareFunction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClusteringField",1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"fieldWeight",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"compareFunction",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"getSimilarityScale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"field",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"comparisons",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"getComparisons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"getIsCenterField",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
