,"phase","period","delta","getArray","getDelta","type","getPeriod","unit","SeasonalityExpoSmooth","array","getType","getUnit","value","getPhase"
"phase",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"period",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"delta",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"getArray",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDelta",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"getPeriod",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unit",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"SeasonalityExpoSmooth",1,1,1,0,0,1,0,1,0,1,0,0,0,0
"array",0,0,0,1,0,0,0,0,1,0,0,0,0,0
"getType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getUnit",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",1,1,1,0,0,1,0,1,0,1,0,0,0,0
"getPhase",0,0,0,0,0,0,0,0,0,0,0,0,0,0
