,"extension","getExtension","getName","name","coefficient","ArrayList","BigInteger","getCoefficient","NumericPredictor","value","getExponent","exponent"
"extension",0,1,0,0,0,0,0,0,1,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0
"getName",0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,1,1,0,0,0,0,2,0,0,0
"coefficient",0,0,0,0,1,0,0,1,2,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0
"BigInteger",0,0,0,0,0,0,0,0,0,0,1,0
"getCoefficient",0,0,0,0,0,0,0,0,0,0,0,0
"NumericPredictor",1,0,0,2,2,0,0,0,0,0,0,2
"value",0,0,0,1,1,0,0,0,0,0,0,1
"getExponent",0,0,0,0,0,0,0,0,0,0,0,0
"exponent",0,0,0,0,0,0,0,0,2,0,1,1
