,"getNUMARRAY","kind","ArrayList","getKind","getNbCols","nbRows","getOffDiagDefault","matCell","getMatCell","Matrix","numarray","getNbRows","value","nbCols","diagDefault","offDiagDefault","getDiagDefault"
"getNUMARRAY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kind",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"getKind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getNbCols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nbRows",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"getOffDiagDefault",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"matCell",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"getMatCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matrix",0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
"numarray",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getNbRows",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"nbCols",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"diagDefault",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"offDiagDefault",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"getDiagDefault",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
