,"summary","getSummary","SeriesChangeEvent","source","EventObject"
"summary",2,1,3,0,0
"getSummary",0,0,0,0,0
"SeriesChangeEvent",3,0,0,0,0
"source",0,0,1,0,1
"EventObject",0,0,0,0,0
