,"describeCommand","Commandline","log","workingDir","project","message","env","msgLevel","args","Project","arg2","exc","Runtime","arg1","arg0","MSG_DEBUG","cmd","BuildException","getRuntime","exec"
"describeCommand",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commandline",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"log",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"workingDir",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"project",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"message",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"env",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"msgLevel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"args",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Project",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Runtime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSG_DEBUG",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"cmd",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRuntime",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"exec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
