,"add","container","JPanel","FlowLayout","GridBagLayout","bottom","addActionListener","JButton","getContentPane","main","setLayout","message","LogFactor5Dialog","CENTER","ActionListener","BorderLayout","arg1","jframe","arg0","SOUTH","ok"
"add",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"container",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPanel",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FlowLayout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GridBagLayout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"bottom",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"addActionListener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"JButton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getContentPane",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"setLayout",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"message",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LogFactor5Dialog",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ActionListener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BorderLayout",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jframe",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ok",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
