,"OverflowingLRUCache","parent","childrenSize","spaceLimitParent","newInstance","ElementCache","entry","overflow","size","loadFactor","spaceNeeded","spaceLimit","equals","defaultLimit","canBeRemovedFromCache","limit","newOverflow","close","key","element","info"
"OverflowingLRUCache",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parent",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"childrenSize",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"spaceLimitParent",0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"newInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ElementCache",0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"entry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"overflow",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"size",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"loadFactor",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"spaceNeeded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"spaceLimit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"defaultLimit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"canBeRemovedFromCache",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"limit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newOverflow",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"close",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"key",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"element",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"info",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
