,"next","temp","elementQueue","hasMoreElements","LRUCacheEnumerator","firstElement","LRUEnumeratorElement","value","nextElement"
"next",0,0,2,0,0,0,0,0,0
"temp",0,0,0,0,0,0,0,0,1
"elementQueue",1,0,0,1,5,0,0,1,0
"hasMoreElements",0,0,0,0,0,0,0,0,0
"LRUCacheEnumerator",0,0,5,0,0,0,0,0,0
"firstElement",0,0,1,0,0,0,0,0,0
"LRUEnumeratorElement",0,0,0,0,0,0,0,1,0
"value",0,1,1,0,0,0,1,1,0
"nextElement",0,0,0,0,0,0,0,0,0
