,"severity","elaborationId","isCanceled","OperationCanceledException","monitor","startPosition","createProblem","CancelableProblemFactory","endPosition","columnNumber","originatingFileName","AbortCompilation","messageArguments","DefaultProblemFactory","problemId","lineNumber","problemArguments"
"severity",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elaborationId",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isCanceled",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OperationCanceledException",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"monitor",0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0
"startPosition",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"createProblem",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"CancelableProblemFactory",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"endPosition",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"columnNumber",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"originatingFileName",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"AbortCompilation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"messageArguments",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"DefaultProblemFactory",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"problemId",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"lineNumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"problemArguments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
