,"OverflowingLRUCache","add","set","buffers","buffersToClose","ArrayList","length","i","newInstance","getOwner","entry","overflow","size","get","arg0","newOverflow","buffer","BufferCache","value"
"OverflowingLRUCache",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"add",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"set",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buffers",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"buffersToClose",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0
"ArrayList",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"newInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getOwner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"entry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"overflow",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"get",0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newOverflow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"buffer",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"BufferCache",0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
