,"toCharArray","org.emftext.language.java.types.impl.IntImpl@706d4091","prefix","org.emftext.language.java.types.impl.IntImpl@3471e7bf","Util","String","type","Math","put","toAnchor","unknownFormatAnchorIndexesCount","methodSignature","lastIndex","ANCHOR_SUFFIX","END_OF_CLASS_DATA","method","START_OF_CLASS_DATA","JavadocContents","index","ANCHOR_SUFFIX_LENGTH","SEPARATOR_START","indexOfNextSeparator","getFieldDoc","field","METHOD_SUMMARY","METHOD_DETAIL","isConstructor","subarray","computeMethodRange","isAnnotation","org.emftext.language.java.types.impl.IntImpl@1afed9b3","flags","range","computeMethodAnchorPrefixEnd","indexOfSectionBottom","tempLastAnchorFoundIndex","JavadocConstants","childrenStart","UNKNOWN_JAVADOC_FORMAT","indexOfComma","anchorEndStart","javadocStart","min","arraycopy","get","declaringType","key","genericSignature","indexOfEndOfClassData","unknownFormatLastAnchorFoundIndex","indexOfEndLink","isVarArgs","getElementInfo","i","javadocEnd","getSignature","JavaModelStatus","Flags","toBeFound","hasComputedChildrenSections","isVarargs","org.emftext.language.java.types.impl.IntImpl@52f8c25","StringBuffer","indexOfBottom","FIELD_DETAIL","anchor","toString","indexOfAllMethodsTop","org.emftext.language.java.types.impl.IntImpl@3d19c053","currentType","replaceOnCopy","replace","computeFieldRange","fieldLastAnchorFoundIndex","isMember","getElementName","startIndex","ANCHOR_PREFIX_START","UNKNOWN_FORMAT","getTypeDoc","buffer","FIELD_SUMMARY","getMethodDoc","indexOf","info","indexOfOpeningParen","ENUM_CONSTANT_SUMMARY","tempAnchorIndexesCount","indexOfFieldsBottom","getChildren","NESTED_CLASS_SUMMARY","prefixEquals","arg4","getFields","arg1","arg0","name","HashtableOfObjectToIntArray","getFlags","child","org.emftext.language.java.types.impl.IntImpl@2d38b8de","getGenericSignature","typeDocRange","JavaModelException","isStatic","typeQualifiedName","insert","content","tempAnchorIndexes","System","substring","CharOperation","computeChildRange","ANNOTATION_TYPE_REQUIRED_MEMBER_SUMMARY","methodAnchorIndexes","methodLastAnchorFoundIndex","indexOfFirstParagraph","CONSTRUCTOR_SUMMARY","ANCHOR_PREFIX_START_LENGHT","array","end","fieldAnchorIndexesCount","value","fieldAnchorIndexes","fromIndex","CONSTRUCTOR_DETAIL","indexOfAllMethodsBottom","indexOfNextSummary","valueOf","start","length","indexOfFieldDetails","methodName","isEnum","ANNOTATION_TYPE_OPTIONAL_MEMBER_SUMMARY","methodDocRanges","indexOfNextElement","indexOfConstructorDetails","methodAnchorIndexesCount","indexOfMethodDetails","unknownFormatAnchorIndexes","indexOfStartOfClassData","START_OF_CLASS_DATA_LENGTH","ANCHOR_PREFIX_END","getDeclaringType","Signature","IJavaModelStatusConstants","fieldDocRanges","org.emftext.language.java.types.impl.IntImpl@63409581","append"
"toCharArray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@706d4091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prefix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@3471e7bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Util",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Math",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"put",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"toAnchor",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
