,"setCanceled","BatchInitializationMonitor","beginTask","isCanceled","subTask","initializeAfterLoadMonitor","work","monitor","totalWork","done","setTaskName","result","worked","subTaskName","get","name","getMonitor","internalWorked","value","getWorked"
"setCanceled",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BatchInitializationMonitor",0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0
"beginTask",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"isCanceled",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"subTask",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"initializeAfterLoadMonitor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"work",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"monitor",1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
"totalWork",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"done",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"setTaskName",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"worked",0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"subTaskName",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"name",0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"getMonitor",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"internalWorked",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"value",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getWorked",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
