,"IJavaElement","length","i","newIsStructureKnown","newChildren","System","isStructureKnown","arg3","getChildren","NO_ELEMENTS","arg2","JavaElement","arg4","children","OpenableElementInfo","arraycopy","arg1","equals","arg0","child","element"
"IJavaElement",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"length",2,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0
"newIsStructureKnown",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newChildren",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"isStructureKnown",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getChildren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO_ELEMENTS",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JavaElement",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"children",0,2,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,1,3,0,1
"OpenableElementInfo",0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"arraycopy",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"child",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"element",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
